Date,Column1,Quarter,Month,Day
44156,2020,Qtr 4,Nov,Sat
44157,2020,Qtr 4,Nov,Sun
44158,2020,Qtr 4,Nov,Mon
44159,2020,Qtr 4,Nov,Tue
44160,2020,Qtr 4,Nov,Wed
44161,2020,Qtr 4,Nov,Thu
44162,2020,Qtr 4,Nov,Fri
44163,2020,Qtr 4,Nov,Sat
44164,2020,Qtr 4,Nov,Sun
44165,2020,Qtr 4,Dec,Mon
44166,2020,Qtr 4,Dec,Tue
44167,2020,Qtr 4,Dec,Wed
44168,2020,Qtr 4,Dec,Thu
44169,2020,Qtr 4,Dec,Fri
44170,2020,Qtr 4,Dec,Sat
44171,2020,Qtr 4,Dec,Sun
44172,2020,Qtr 4,Dec,Mon
44173,2020,Qtr 4,Dec,Tue
44174,2020,Qtr 4,Dec,Wed
44175,2020,Qtr 4,Dec,Thu
44176,2020,Qtr 4,Dec,Fri
44177,2020,Qtr 4,Dec,Sat
44178,2020,Qtr 4,Dec,Sun
44179,2020,Qtr 4,Dec,Mon
44180,2020,Qtr 4,Dec,Tue
44181,2020,Qtr 4,Dec,Wed
44182,2020,Qtr 4,Dec,Thu
44183,2020,Qtr 4,Dec,Fri
44184,2020,Qtr 4,Dec,Sat
44185,2020,Qtr 4,Dec,Sun
44186,2020,Qtr 4,Dec,Mon
44187,2020,Qtr 4,Dec,Tue
44188,2020,Qtr 4,Dec,Wed
44189,2020,Qtr 4,Dec,Thu
44190,2020,Qtr 4,Dec,Fri
44191,2020,Qtr 4,Dec,Sat
44192,2020,Qtr 4,Dec,Sun
44193,2020,Qtr 4,Dec,Mon
44194,2020,Qtr 4,Dec,Tue
44195,2020,Qtr 4,Dec,Wed
44196,2020,Qtr 1,Jan,Thu
44197,2021,Qtr 1,Jan,Fri
44198,2021,Qtr 1,Jan,Sat
44199,2021,Qtr 1,Jan,Sun
44200,2021,Qtr 1,Jan,Mon
44201,2021,Qtr 1,Jan,Tue
44202,2021,Qtr 1,Jan,Wed
44203,2021,Qtr 1,Jan,Thu
44204,2021,Qtr 1,Jan,Fri
44205,2021,Qtr 1,Jan,Sat
44206,2021,Qtr 1,Jan,Sun
44207,2021,Qtr 1,Jan,Mon
44208,2021,Qtr 1,Jan,Tue
44209,2021,Qtr 1,Jan,Wed
44210,2021,Qtr 1,Jan,Thu
44211,2021,Qtr 1,Jan,Fri
44212,2021,Qtr 1,Jan,Sat
44213,2021,Qtr 1,Jan,Sun
44214,2021,Qtr 1,Jan,Mon
44215,2021,Qtr 1,Jan,Tue
44216,2021,Qtr 1,Jan,Wed
44217,2021,Qtr 1,Jan,Thu
44218,2021,Qtr 1,Jan,Fri
44219,2021,Qtr 1,Jan,Sat
44220,2021,Qtr 1,Jan,Sun
44221,2021,Qtr 1,Jan,Mon
44222,2021,Qtr 1,Jan,Tue
44223,2021,Qtr 1,Jan,Wed
44224,2021,Qtr 1,Jan,Thu
44225,2021,Qtr 1,Jan,Fri
44226,2021,Qtr 1,Jan,Sat
44227,2021,Qtr 1,Feb,Sun
44228,2021,Qtr 1,Feb,Mon
44229,2021,Qtr 1,Feb,Tue
44230,2021,Qtr 1,Feb,Wed
44231,2021,Qtr 1,Feb,Thu
44232,2021,Qtr 1,Feb,Fri
44233,2021,Qtr 1,Feb,Sat
44234,2021,Qtr 1,Feb,Sun
44235,2021,Qtr 1,Feb,Mon
44236,2021,Qtr 1,Feb,Tue
44237,2021,Qtr 1,Feb,Wed
44238,2021,Qtr 1,Feb,Thu
44239,2021,Qtr 1,Feb,Fri
44240,2021,Qtr 1,Feb,Sat
44241,2021,Qtr 1,Feb,Sun
44242,2021,Qtr 1,Feb,Mon
44243,2021,Qtr 1,Feb,Tue
44244,2021,Qtr 1,Feb,Wed
44245,2021,Qtr 1,Feb,Thu
44246,2021,Qtr 1,Feb,Fri
44247,2021,Qtr 1,Feb,Sat
44248,2021,Qtr 1,Feb,Sun
44249,2021,Qtr 1,Feb,Mon
44250,2021,Qtr 1,Feb,Tue
44251,2021,Qtr 1,Feb,Wed
44252,2021,Qtr 1,Feb,Thu
44253,2021,Qtr 1,Feb,Fri
44254,2021,Qtr 1,Feb,Sat
44255,2021,Qtr 1,Mar,Sun
44256,2021,Qtr 1,Mar,Mon
44257,2021,Qtr 1,Mar,Tue
44258,2021,Qtr 1,Mar,Wed
44259,2021,Qtr 1,Mar,Thu
44260,2021,Qtr 1,Mar,Fri
44261,2021,Qtr 1,Mar,Sat
44262,2021,Qtr 1,Mar,Sun
44263,2021,Qtr 1,Mar,Mon
44264,2021,Qtr 1,Mar,Tue
44265,2021,Qtr 1,Mar,Wed
44266,2021,Qtr 1,Mar,Thu
44267,2021,Qtr 1,Mar,Fri
44268,2021,Qtr 1,Mar,Sat
44269,2021,Qtr 1,Mar,Sun
44270,2021,Qtr 1,Mar,Mon
44271,2021,Qtr 1,Mar,Tue
44272,2021,Qtr 1,Mar,Wed
44273,2021,Qtr 1,Mar,Thu
44274,2021,Qtr 1,Mar,Fri
44275,2021,Qtr 1,Mar,Sat
44276,2021,Qtr 1,Mar,Sun
44277,2021,Qtr 1,Mar,Mon
44278,2021,Qtr 1,Mar,Tue
44279,2021,Qtr 1,Mar,Wed
44280,2021,Qtr 1,Mar,Thu
44281,2021,Qtr 1,Mar,Fri
44282,2021,Qtr 1,Mar,Sat
44283,2021,Qtr 1,Mar,Sun
44284,2021,Qtr 1,Mar,Mon
44285,2021,Qtr 1,Mar,Tue
44286,2021,Qtr 2,Apr,Wed
44287,2021,Qtr 2,Apr,Thu
44288,2021,Qtr 2,Apr,Fri
44289,2021,Qtr 2,Apr,Sat
44290,2021,Qtr 2,Apr,Sun
44291,2021,Qtr 2,Apr,Mon
44292,2021,Qtr 2,Apr,Tue
44293,2021,Qtr 2,Apr,Wed
44294,2021,Qtr 2,Apr,Thu
44295,2021,Qtr 2,Apr,Fri
44296,2021,Qtr 2,Apr,Sat
44297,2021,Qtr 2,Apr,Sun
44298,2021,Qtr 2,Apr,Mon
44299,2021,Qtr 2,Apr,Tue
44300,2021,Qtr 2,Apr,Wed
44301,2021,Qtr 2,Apr,Thu
44302,2021,Qtr 2,Apr,Fri
44303,2021,Qtr 2,Apr,Sat
44304,2021,Qtr 2,Apr,Sun
44305,2021,Qtr 2,Apr,Mon
44306,2021,Qtr 2,Apr,Tue
44307,2021,Qtr 2,Apr,Wed
44308,2021,Qtr 2,Apr,Thu
44309,2021,Qtr 2,Apr,Fri
44310,2021,Qtr 2,Apr,Sat
44311,2021,Qtr 2,Apr,Sun
44312,2021,Qtr 2,Apr,Mon
44313,2021,Qtr 2,Apr,Tue
44314,2021,Qtr 2,Apr,Wed
